,0th model,1th model,2th model,3th model,4th model,5th model,6th model,7th model,8th model,9th model,10th model,y_test
248,25354.531,22614.086,29328.768,68301.52,16002.472,13142.223,825.36316,8394.931,11791.752,13658.56,9091.451,6200.0
249,44867.727,33514.188,50393.81,106196.05,28893.93,19767.045,3831.4138,15605.274,16825.107,21463.379,15039.94,17500.0
250,61943.918,42205.758,69231.42,136051.98,41489.055,25230.445,6517.6064,21840.164,20434.357,28708.365,20862.568,11300.000000000002
251,72853.2,47042.44,82151.37,154043.88,50422.78,28396.244,8244.1,25808.732,21841.27,33852.07,25288.826,9600.0
252,76894.586,47692.867,88302.67,160988.22,54650.473,28769.336,8730.252,27246.492,20861.982,36037.508,27632.162,10600.0
253,74711.07,44501.87,87940.266,158536.03,54428.613,26371.295,7930.0215,26298.059,17712.65,35095.152,27671.627,11800.0
254,66554.12,38190.168,81077.68,146390.9,50118.69,21693.21,6014.1562,23013.01,13036.427,31400.086,25446.04,7700.000000000001
255,52115.34,29962.578,66806.91,120454.86,41898.527,15712.766,3437.7751,17511.158,7984.6343,25737.469,21239.342,3699.9999999999995
256,32460.66,21528.584,44770.754,77849.01,30579.133,9740.066,902.48444,10719.038,3879.67,19159.82,15770.53,3699.9999999999995
257,12503.206,14582.865,19929.727,31450.506,18741.775,4956.0996,-930.7953,4501.9263,1421.1423,12778.863,10269.805,3500.0
258,-826.6355,9995.635,3537.9187,5720.7373,9899.585,1902.6964,-1795.1544,390.5101,328.81287,7494.871,5998.8203,2100.0
259,-5331.579,7528.926,-585.2434,-301.2567,5375.8813,387.45883,-1874.0765,-1527.7794,-73.39735,3764.894,3474.633,900.0
260,-4953.6553,6333.2715,-1054.6876,-1769.526,3517.624,-140.79527,-1547.0721,-2041.7832,-228.27827,1552.8511,2345.3462,0.0
261,-4033.7073,5617.069,-1740.1759,-307.09567,2430.5964,-163.74278,-1147.7476,-1831.4233,-279.9233,523.5649,1992.2389,0.0
262,-4624.175,5002.8994,-1825.8834,3691.4458,1365.5837,98.808365,-884.1652,-1273.0197,-157.42854,388.46774,1983.9526,0.0
263,-6754.5986,4601.2754,-2162.6758,7095.6685,132.72806,692.1097,-823.1005,-594.68304,447.00317,1195.4606,2121.3413,0.0
264,1119.111,695.4838,5587.6953,2220.9832,578.5496,-903.0319,543.3461,411.40945,959.57574,1758.4731,-1253.2861,0.0
265,-180.1521,-2129.299,4714.598,-69.67132,2034.6875,-592.1409,759.50275,-1500.2958,-328.3801,1180.3124,-471.1217,0.0
266,305.9556,-1719.1576,3061.4849,-2159.59,2050.039,-254.50327,386.41187,-1752.903,-776.0278,1461.3193,-723.4279,0.0
267,819.3122,-442.7693,2095.3616,-864.1601,1846.6564,-184.35374,-341.51096,-1370.9698,-1066.0135,1390.6393,-1060.6947,0.0
268,302.04395,608.82996,2010.6611,2655.225,1917.9976,-103.15374,-1371.362,-1051.0801,-1130.756,964.9774,-1428.8599,0.0
269,-737.20685,1813.8533,3330.55,4905.9917,1988.7539,417.60947,-2562.6404,-958.80316,-593.7679,828.57825,-1553.2916,400.0
270,445.33948,4903.3784,9645.633,6722.1177,1986.2794,1649.7864,-3265.287,412.3984,1065.6399,2204.034,-752.45514,4100.0
271,7575.6543,11556.959,26432.691,18270.604,3273.512,3540.539,-2373.0867,5479.9507,4151.0254,6328.0728,2002.0314,13300.0
272,21760.418,21475.363,53699.605,48243.234,8385.549,5740.4453,804.9346,14756.822,8337.012,13447.794,7350.289,29499.999999999996
273,39508.645,32185.783,82281.55,87709.96,18215.867,7787.8623,5725.9614,25637.25,12688.911,22313.512,14707.739,54500.0
274,55377.332,40875.125,104511.3,120316.97,30132.81,9285.756,10939.6,34683.09,16139.511,30798.188,22421.334,48100.0
