,0th model,1th model,2th model,3th model,4th model,5th model,6th model,7th model,8th model,9th model,10th model,y_test
227,0.0,0.0,46092.46,0.0,26029.725,57151.19,0.0,38183.484,45667.152,46121.47,0.0,23900.0
228,0.0,0.0,50978.8,0.0,27607.684,63570.89,0.0,37691.83,46400.742,44643.055,0.0,46400.0
229,0.0,0.0,51906.395,0.0,26135.469,65141.375,0.0,33923.836,43099.6,39573.035,0.0,25200.0
230,0.0,0.0,48896.305,0.0,22112.867,61992.582,0.0,27417.846,36279.832,31630.885,0.0,20700.0
231,0.0,0.0,42228.715,0.0,16155.491,54669.62,0.0,18832.768,26657.28,21707.15,0.0,19600.0
232,0.0,0.0,32318.375,0.0,8954.361,43970.56,0.0,8908.7705,15098.024,10856.35,0.0,28200.0
233,0.0,0.0,19657.85,0.0,1264.9681,30841.191,0.0,0.0,2643.4958,326.69833,0.0,14100.0
234,0.0,0.0,4845.0605,0.0,0.0,16367.541,0.0,0.0,0.0,0.0,0.0,6500.0
235,0.0,0.0,0.0,0.0,0.0,1842.121,0.0,0.0,0.0,0.0,0.0,1800.0
236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.3467,0.0,0.0
240,0.0,0.0,3286.9702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,0.0,0.0,5553.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,0.0,0.0,3490.5852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.9379,0.0,1500.0
247,0.0,0.0,4368.4507,0.0,0.0,0.0,0.0,2842.8562,6897.1357,9661.265,0.0,4300.0
248,0.0,0.0,16630.893,0.0,5224.8584,5682.588,0.0,11246.585,16811.424,17768.953,0.0,6200.0
249,0.0,0.0,30718.674,0.0,13422.232,12654.75,0.0,18444.658,25148.79,24389.582,0.0,17500.0
250,0.0,0.0,43986.434,0.0,19771.08,18341.004,0.0,23508.375,30932.197,28707.186,0.0,11300.000000000002
251,0.0,0.0,54325.848,0.0,23602.314,22124.879,0.0,25978.467,33676.363,30341.906,0.0,9600.0
